Date,Bank Index,WFC Close Price,JPM Close Price,BAC Close Price
2020-01-03,5.130000114440918,53.42,138.34,34.9
2020-01-06,5.087500095367432,53.1,138.23,34.85
2020-01-07,5.067999839782715,52.66,135.88,34.62
2020-01-08,5.064000129699707,52.82,136.94,34.97
2020-01-09,5.0920000076293945,52.73,137.44,35.03
2020-01-10,5.065999984741211,52.5,136.07,34.74
2020-01-13,5.054999828338623,52.11,137.2,35.06
2020-01-14,5.114999771118164,49.3,138.8,35.32
2020-01-15,5.021999835968018,48.32,136.72,34.67
2020-01-16,5.039999961853027,49.25,137.25,34.72
2020-01-17,5.059999942779541,49.18,138.2,34.71
2020-01-21,5.0269999504089355,48.94,136.84,34.26
2020-01-22,5.006999969482422,48.56,136.68,34.36
2020-01-23,4.963250160217285,48.22,136.54,34.12
2020-01-24,4.947000026702881,47.57,133.15,33.54
2020-01-27,4.840000152587891,47.1,132.03,32.85
2020-01-28,4.905749797821045,47.37,134.43,33.24
2020-01-29,4.9045000076293945,47.27,134.23,33.01
2020-01-30,4.813499927520752,47.91,135.89,33.48
2020-01-31,4.803500175476074,46.94,132.36,32.83
2020-02-03,4.851500034332275,47.12,133.37,32.97
2020-02-04,4.937250137329102,47.26,135.29,33.62
2020-02-05,5.011499881744385,48.31,137.59,34.71
2020-02-06,5.013999938964844,47.98,137.61,34.67
2020-02-07,4.9644999504089355,47.84,137.17,34.61
2020-02-10,4.944250106811523,47.77,137.74,34.69
2020-02-11,5.000999927520752,47.99,138.0,34.77
2020-02-12,5.013000011444092,47.79,138.0,34.92
2020-02-13,5.002999782562256,48.12,137.88,34.91
2020-02-14,5.013000011444092,48.22,137.46,34.85
2020-02-18,4.898749828338623,46.99,135.64,34.27
2020-02-19,4.973249912261963,47.09,137.49,34.72
2020-02-20,4.983250141143799,47.34,137.49,34.85
2020-02-21,4.928750038146973,47.7,135.81,34.36
2020-02-24,4.788750171661377,46.39,132.16,32.73
2020-02-25,4.688499927520752,45.12,126.26,31.08
2020-02-26,4.603499889373779,44.14,126.64,30.63
2020-02-27,4.385499954223633,42.47,121.37,29.13
2020-02-28,4.163750171661377,40.85,116.11,28.5
2020-03-02,4.23675012588501,42.26,121.52,29.37
2020-03-03,4.202250003814697,40.53,116.96,27.75
2020-03-04,4.179999828338623,41.4,119.85,28.39
2020-03-05,4.106500148773193,38.9,113.97,26.78
2020-03-06,3.869499921798706,37.09,108.08,25.71
2020-03-09,3.378499984741211,32.48,93.44,21.93
2020-03-10,3.311000108718872,35.08,100.7,23.61
2020-03-11,3.388499975204468,32.33,95.96,22.67
2020-03-12,2.9367499351501465,27.2,88.05,20.51
2020-03-13,3.1064999103546143,30.89,103.91,24.16
2020-03-16,2.9690001010894775,26.5,88.36,20.44
2020-03-17,3.0117499828338623,29.63,93.76,21.98
2020-03-18,2.857749938964844,28.12,83.89,20.79
2020-03-19,2.842250108718872,28.29,85.3,21.2
2020-03-20,2.8017499446868896,26.5,83.5,19.67
2020-03-23,2.5309998989105225,25.25,79.03,18.08
2020-03-24,2.846250057220459,28.92,88.43,21.03
2020-03-25,2.897749900817871,28.97,91.73,21.1
2020-03-26,3.0864999294281006,30.9,98.12,22.72
2020-03-27,3.0492498874664307,30.28,91.13,21.6
2020-03-30,3.017250061035156,29.92,93.5,22.04
2020-03-31,3.0399999618530273,28.7,90.03,21.23
2020-04-01,2.7502501010894775,26.57,84.36,19.77
2020-04-02,2.7834999561309814,27.22,87.51,20.57
2020-04-03,2.717250108718872,26.23,84.05,20.03
2020-04-06,2.836750030517578,28.63,89.46,21.39
2020-04-07,3.073499917984009,28.77,90.64,22.14
2020-04-08,3.108750104904175,30.28,94.3,23.45
2020-04-09,3.356750011444092,33.2,102.76,24.86
2020-04-14,3.138999938964844,30.18,95.5,23.73
2020-04-15,2.98075008392334,28.44,90.79,22.19
2020-04-16,2.8489999771118164,26.89,87.33,21.42
2020-04-17,3.0532500743865967,28.38,95.18,23.28
2020-04-20,3.142250061035156,27.68,91.71,22.5
2020-04-21,2.9885001182556152,26.84,89.05,21.64
